Participant,Illusion_Type,Illusion_Difference,Illusion_Strength,File,Block,Trial,ISI,RT,Response,Response_Correct,Error
bsvxfugrwp,Ebbinghaus,-0.5,0.15,Ebbinghaus_0.15000_-0.5000.png,A,24.0,746217.0,0.812,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,-0.5,-0.15,Ebbinghaus_-0.1500_-0.5000.png,A,25.0,747949.0,0.843,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,0.3383,1.35,Ebbinghaus_1.35000_0.33830.png,A,26.0,749526.0,2.185,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,-0.09684,-0.45,Ebbinghaus_-0.4500_-0.09684.png,A,27.0,752691.0,0.871,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,-0.5,-1.05,Ebbinghaus_-1.0500_-0.5000.png,A,28.0,754382.0,0.555,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,-0.09684,0.45,Ebbinghaus_0.45000_-0.09684.png,A,29.0,755756.0,4.614,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,-0.5,0.75,Ebbinghaus_0.75000_-0.5000.png,A,30.0,761462.0,0.693,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,0.20566,-1.05,Ebbinghaus_-1.0500_0.20566.png,A,31.0,762927.0,0.873,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,0.5,0.75,Ebbinghaus_0.75000_0.50000.png,A,32.0,764597.0,0.944,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,0.3383,0.15,Ebbinghaus_0.15000_0.33830.png,A,33.0,766556.0,1.594,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,-0.5,1.05,Ebbinghaus_1.05000_-0.5000.png,A,34.0,769237.0,0.536,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,0.5,-0.15,Ebbinghaus_-0.1500_0.50000.png,A,35.0,770416.0,0.778,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,0.5,-1.35,Ebbinghaus_-1.3500_0.50000.png,A,36.0,771856.0,0.69,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,0.09684,1.05,Ebbinghaus_1.05000_0.09684.png,A,37.0,773196.0,4.791,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,-0.20566,0.75,Ebbinghaus_0.75000_-0.20566.png,A,38.0,778777.0,1.283,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,0.09684,-0.45,Ebbinghaus_-0.4500_0.09684.png,A,39.0,780862.0,1.27,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,-0.09684,-0.15,Ebbinghaus_-0.1500_-0.09684.png,A,40.0,782939.0,0.785,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,-0.20566,-1.05,Ebbinghaus_-1.0500_-0.20566.png,A,41.0,784554.0,0.583,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,0.3383,-0.75,Ebbinghaus_-0.7500_0.33830.png,A,42.0,785912.0,1.067,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,0.20566,1.05,Ebbinghaus_1.05000_0.20566.png,A,43.0,787848.0,2.421,arrowright,arrowleft,1
bsvxfugrwp,Ebbinghaus,-0.20566,-0.45,Ebbinghaus_-0.4500_-0.20566.png,A,44.0,791279.0,0.633,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,0.3383,-1.05,Ebbinghaus_-1.0500_0.33830.png,A,45.0,792741.0,0.803,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,0.09684,-0.75,Ebbinghaus_-0.7500_0.09684.png,A,46.0,794591.0,2.825,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,-0.09684,-1.35,Ebbinghaus_-1.3500_-0.09684.png,A,47.0,798469.0,0.651,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,-0.5,1.35,Ebbinghaus_1.35000_-0.5000.png,A,48.0,800174.0,0.902,arrowleft,arrowright,1
bsvxfugrwp,Ebbinghaus,-0.20566,0.15,Ebbinghaus_0.15000_-0.20566.png,A,49.0,802168.0,0.686,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,0.20566,-0.75,Ebbinghaus_-0.7500_0.20566.png,A,50.0,803759.0,1.17,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,0.5,0.15,Ebbinghaus_0.15000_0.50000.png,A,51.0,805864.0,0.822,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,-0.09684,-0.75,Ebbinghaus_-0.7500_-0.09684.png,A,52.0,807720.0,0.703,arrowright,arrowright,0
bsvxfugrwp,Ebbinghaus,0.20566,0.45,Ebbinghaus_0.45000_0.20566.png,A,53.0,809350.0,1.663,arrowright,arrowleft,1
bsvxfugrwp,Ebbinghaus,0.20566,-0.45,Ebbinghaus_-0.4500_0.20566.png,A,54.0,812054.0,0.983,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,0.20566,-1.35,Ebbinghaus_-1.3500_0.20566.png,A,55.0,814101.0,0.674,arrowleft,arrowleft,0
bsvxfugrwp,Ebbinghaus,0.3383,0.45,Ebbinghaus_0.45000_0.33830.png,A,56.0,815705.0,1.068,arrowleft,arrowleft,0
