"Participant","Illusion_Type","Illusion_Difference","Illusion_Strength","File","Block","Trial","ISI","RT","Response","Response_Correct","Error","Illusion_Effect","Task_Difficulty","Condition_Illusion","Condition_Difficulty"
"bsvxfugrwp","Ebbinghaus",-0.3383,-1.35,"Ebbinghaus_-1.3500_-0.3383.png","A",18,733791,0.636,"arrowright","arrowright",0,"Congruent",0.3383,"Congruent - Strong","Easy"
"bsvxfugrwp","Ebbinghaus",0.3383,-1.35,"Ebbinghaus_-1.3500_0.33830.png","A",19,735234,0.799,"arrowleft","arrowleft",0,"Congruent",0.3383,"Congruent - Strong","Easy"
"bsvxfugrwp","Ebbinghaus",-0.5,-0.45,"Ebbinghaus_-0.4500_-0.5000.png","A",20,737018,0.669,"arrowright","arrowright",0,"Congruent",0.5,"Congruent - Mild","Easy"
"bsvxfugrwp","Ebbinghaus",-0.3383,-0.75,"Ebbinghaus_-0.7500_-0.3383.png","A",21,738388,1.188,"arrowright","arrowright",0,"Congruent",0.3383,"Congruent - Mild","Easy"
"bsvxfugrwp","Ebbinghaus",-0.20566,1.35,"Ebbinghaus_1.35000_-0.20566.png","A",23,743435,1.717,"arrowleft","arrowright",1,"Incongruent",0.20566,"Incongruent - Strong","Hard"
"bsvxfugrwp","Ebbinghaus",-0.5,0.15,"Ebbinghaus_0.15000_-0.5000.png","A",24,746217,0.812,"arrowright","arrowright",0,"Incongruent",0.5,"Incongruent - Mild","Easy"
"bsvxfugrwp","Ebbinghaus",-0.5,-0.15,"Ebbinghaus_-0.1500_-0.5000.png","A",25,747949,0.843,"arrowright","arrowright",0,"Congruent",0.5,"Congruent - Mild","Easy"
"bsvxfugrwp","Ebbinghaus",-0.09684,-0.45,"Ebbinghaus_-0.4500_-0.09684.png","A",27,752691,0.871,"arrowright","arrowright",0,"Congruent",0.09684,"Congruent - Mild","Hard"
"bsvxfugrwp","Ebbinghaus",-0.5,-1.05,"Ebbinghaus_-1.0500_-0.5000.png","A",28,754382,0.555,"arrowright","arrowright",0,"Congruent",0.5,"Congruent - Strong","Easy"
"bsvxfugrwp","Ebbinghaus",-0.5,0.75,"Ebbinghaus_0.75000_-0.5000.png","A",30,761462,0.693,"arrowright","arrowright",0,"Incongruent",0.5,"Incongruent - Mild","Easy"
"bsvxfugrwp","Ebbinghaus",0.20566,-1.05,"Ebbinghaus_-1.0500_0.20566.png","A",31,762927,0.873,"arrowleft","arrowleft",0,"Congruent",0.20566,"Congruent - Strong","Hard"
"bsvxfugrwp","Ebbinghaus",0.5,0.75,"Ebbinghaus_0.75000_0.50000.png","A",32,764597,0.944,"arrowleft","arrowleft",0,"Incongruent",0.5,"Incongruent - Mild","Easy"
"bsvxfugrwp","Ebbinghaus",0.3383,0.15,"Ebbinghaus_0.15000_0.33830.png","A",33,766556,1.594,"arrowleft","arrowleft",0,"Incongruent",0.3383,"Incongruent - Mild","Easy"
"bsvxfugrwp","Ebbinghaus",-0.5,1.05,"Ebbinghaus_1.05000_-0.5000.png","A",34,769237,0.536,"arrowright","arrowright",0,"Incongruent",0.5,"Incongruent - Strong","Easy"
"bsvxfugrwp","Ebbinghaus",0.5,-0.15,"Ebbinghaus_-0.1500_0.50000.png","A",35,770416,0.778,"arrowleft","arrowleft",0,"Congruent",0.5,"Congruent - Mild","Easy"
"bsvxfugrwp","Ebbinghaus",0.5,-1.35,"Ebbinghaus_-1.3500_0.50000.png","A",36,771856,0.69,"arrowleft","arrowleft",0,"Congruent",0.5,"Congruent - Strong","Easy"
"bsvxfugrwp","Ebbinghaus",-0.20566,0.75,"Ebbinghaus_0.75000_-0.20566.png","A",38,778777,1.283,"arrowright","arrowright",0,"Incongruent",0.20566,"Incongruent - Mild","Hard"
"bsvxfugrwp","Ebbinghaus",0.09684,-0.45,"Ebbinghaus_-0.4500_0.09684.png","A",39,780862,1.27,"arrowleft","arrowleft",0,"Congruent",0.09684,"Congruent - Mild","Hard"
"bsvxfugrwp","Ebbinghaus",-0.09684,-0.15,"Ebbinghaus_-0.1500_-0.09684.png","A",40,782939,0.785,"arrowright","arrowright",0,"Congruent",0.09684,"Congruent - Mild","Hard"
"bsvxfugrwp","Ebbinghaus",-0.20566,-1.05,"Ebbinghaus_-1.0500_-0.20566.png","A",41,784554,0.583,"arrowright","arrowright",0,"Congruent",0.20566,"Congruent - Strong","Hard"
"bsvxfugrwp","Ebbinghaus",0.3383,-0.75,"Ebbinghaus_-0.7500_0.33830.png","A",42,785912,1.067,"arrowleft","arrowleft",0,"Congruent",0.3383,"Congruent - Mild","Easy"
"bsvxfugrwp","Ebbinghaus",-0.20566,-0.45,"Ebbinghaus_-0.4500_-0.20566.png","A",44,791279,0.633,"arrowright","arrowright",0,"Congruent",0.20566,"Congruent - Mild","Hard"
"bsvxfugrwp","Ebbinghaus",0.3383,-1.05,"Ebbinghaus_-1.0500_0.33830.png","A",45,792741,0.803,"arrowleft","arrowleft",0,"Congruent",0.3383,"Congruent - Strong","Easy"
"bsvxfugrwp","Ebbinghaus",-0.09684,-1.35,"Ebbinghaus_-1.3500_-0.09684.png","A",47,798469,0.651,"arrowright","arrowright",0,"Congruent",0.09684,"Congruent - Strong","Hard"
"bsvxfugrwp","Ebbinghaus",-0.5,1.35,"Ebbinghaus_1.35000_-0.5000.png","A",48,800174,0.902,"arrowleft","arrowright",1,"Incongruent",0.5,"Incongruent - Strong","Easy"
"bsvxfugrwp","Ebbinghaus",-0.20566,0.15,"Ebbinghaus_0.15000_-0.20566.png","A",49,802168,0.686,"arrowright","arrowright",0,"Incongruent",0.20566,"Incongruent - Mild","Hard"
"bsvxfugrwp","Ebbinghaus",0.20566,-0.75,"Ebbinghaus_-0.7500_0.20566.png","A",50,803759,1.17,"arrowleft","arrowleft",0,"Congruent",0.20566,"Congruent - Mild","Hard"
"bsvxfugrwp","Ebbinghaus",0.5,0.15,"Ebbinghaus_0.15000_0.50000.png","A",51,805864,0.822,"arrowleft","arrowleft",0,"Incongruent",0.5,"Incongruent - Mild","Easy"
"bsvxfugrwp","Ebbinghaus",-0.09684,-0.75,"Ebbinghaus_-0.7500_-0.09684.png","A",52,807720,0.703,"arrowright","arrowright",0,"Congruent",0.09684,"Congruent - Mild","Hard"
"bsvxfugrwp","Ebbinghaus",0.20566,0.45,"Ebbinghaus_0.45000_0.20566.png","A",53,809350,1.663,"arrowright","arrowleft",1,"Incongruent",0.20566,"Incongruent - Mild","Hard"
"bsvxfugrwp","Ebbinghaus",0.20566,-0.45,"Ebbinghaus_-0.4500_0.20566.png","A",54,812054,0.983,"arrowleft","arrowleft",0,"Congruent",0.20566,"Congruent - Mild","Hard"
"bsvxfugrwp","Ebbinghaus",0.20566,-1.35,"Ebbinghaus_-1.3500_0.20566.png","A",55,814101,0.674,"arrowleft","arrowleft",0,"Congruent",0.20566,"Congruent - Strong","Hard"
"bsvxfugrwp","Ebbinghaus",0.3383,0.45,"Ebbinghaus_0.45000_0.33830.png","A",56,815705,1.068,"arrowleft","arrowleft",0,"Incongruent",0.3383,"Incongruent - Mild","Easy"
"bsvxfugrwp","Ebbinghaus",-0.3383,1.05,"Ebbinghaus_1.05000_-0.3383.png","A",58,820867,1.262,"arrowright","arrowright",0,"Incongruent",0.3383,"Incongruent - Strong","Easy"
"bsvxfugrwp","Ebbinghaus",-0.3383,0.15,"Ebbinghaus_0.15000_-0.3383.png","A",60,826973,0.841,"arrowright","arrowright",0,"Incongruent",0.3383,"Incongruent - Mild","Easy"
"bsvxfugrwp","Ebbinghaus",-0.09684,1.35,"Ebbinghaus_1.35000_-0.09684.png","A",61,828713,1.036,"arrowleft","arrowright",1,"Incongruent",0.09684,"Incongruent - Strong","Hard"
"bsvxfugrwp","Ebbinghaus",0.5,-0.75,"Ebbinghaus_-0.7500_0.50000.png","A",62,830699,0.85,"arrowleft","arrowleft",0,"Congruent",0.5,"Congruent - Mild","Easy"
"bsvxfugrwp","Ebbinghaus",0.5,0.45,"Ebbinghaus_0.45000_0.50000.png","A",63,832300,0.713,"arrowleft","arrowleft",0,"Incongruent",0.5,"Incongruent - Mild","Easy"
"bsvxfugrwp","Ebbinghaus",-0.5,-1.35,"Ebbinghaus_-1.3500_-0.5000.png","A",65,836800,0.699,"arrowright","arrowright",0,"Congruent",0.5,"Congruent - Strong","Easy"
"bsvxfugrwp","Ebbinghaus",0.09684,-1.35,"Ebbinghaus_-1.3500_0.09684.png","A",66,838557,0.612,"arrowleft","arrowleft",0,"Congruent",0.09684,"Congruent - Strong","Hard"
"bsvxfugrwp","Ebbinghaus",0.3383,1.05,"Ebbinghaus_1.05000_0.33830.png","A",67,840146,1.139,"arrowright","arrowleft",1,"Incongruent",0.3383,"Incongruent - Strong","Easy"
"bsvxfugrwp","Ebbinghaus",0.20566,1.35,"Ebbinghaus_1.35000_0.20566.png","A",68,842276,0.936,"arrowright","arrowleft",1,"Incongruent",0.20566,"Incongruent - Strong","Hard"
"bsvxfugrwp","Ebbinghaus",0.09684,-1.05,"Ebbinghaus_-1.0500_0.09684.png","A",69,843846,0.825,"arrowleft","arrowleft",0,"Congruent",0.09684,"Congruent - Strong","Hard"
"bsvxfugrwp","Ebbinghaus",0.09684,0.45,"Ebbinghaus_0.45000_0.09684.png","A",70,845538,0.655,"arrowright","arrowleft",1,"Incongruent",0.09684,"Incongruent - Mild","Hard"
"bsvxfugrwp","Ebbinghaus",-0.09684,0.15,"Ebbinghaus_0.15000_-0.09684.png","A",71,846881,0.691,"arrowright","arrowright",0,"Incongruent",0.09684,"Incongruent - Mild","Hard"
"bsvxfugrwp","Ebbinghaus",-0.3383,-1.05,"Ebbinghaus_-1.0500_-0.3383.png","A",72,848252,0.654,"arrowright","arrowright",0,"Congruent",0.3383,"Congruent - Strong","Easy"
